application_id: 1	name: MCS_distance_20.0_sigmaloc1_10.0_sigmaloc2_10.0_sigmasigmaloc1_2.0_sigmasigmaloc2_2.0_frames_10_numberofspots_1000_sample-heterogeneity_0_repeat_1.txt	filepath: /Volumes/blank	nr_pixels_x: 512	nr_pixels_y: 512	pixel_size: 159.0	nr_spots: 1046	box_size: 12	nr_channels: 2	nr_frames: 10	nr_slices: 1	nr_pos: 400	location_units: NM	intensity_units: PHOTONS	fit_mode: 1	is_track: false	has_Z: false
molecule	frame	slice	channel	pos	x_position	y_position	x(nm)	y(nm)	intensity	background	width	a	theta	sigma	int_ratio	alt_sigma	intensity_aperture	background_aperture
55	5	1	2	3	1	1	12509.330801	12504.4885594	1	1	1	1	1	6.96917150642	1	1	1	1
56	6	1	2	3	1	1	12518.8564621	12486.9756395	1	1	1	1	1	8.15315451885	1	1	1	1
57	7	1	2	3	1	1	12492.1953684	12507.6465907	1	1	1	1	1	10.0414955228	1	1	1	1
58	8	1	2	3	1	1	12521.8006948	12495.4698541	1	1	1	1	1	7.62915172358	1	1	1	1
59	9	1	2	3	1	1	12522.1027705	12502.712186	1	1	1	1	1	8.29402112312	1	1	1	1
60	10	1	2	3	1	1	12522.4974098	12497.8117609	1	1	1	1	1	6.66751262729	1	1	1	1
61	1	1	1	4	1	1	12497.7014962	12503.0048831	1	1	1	1	1	9.2315599304	1	1	1	1
62	2	1	1	4	1	1	12495.651242	12497.4038359	1	1	1	1	1	9.39154528297	1	1	1	1
63	3	1	1	4	1	1	12528.6029917	12478.0974079	1	1	1	1	1	13.2907420571	1	1	1	1
64	4	1	1	4	1	1	12502.6550723	12498.1358346	1	1	1	1	1	12.1315828076	1	1	1	1
65	5	1	1	4	1	1	12498.9643096	12488.9516406	1	1	1	1	1	10.3027177754	1	1	1	1
66	6	1	1	4	1	1	12498.8965225	12483.3204678	1	1	1	1	1	8.82588164265	1	1	1	1
67	7	1	1	4	1	1	12490.1311451	12492.1383036	1	1	1	1	1	10.092282395	1	1	1	1
68	8	1	1	4	1	1	12496.7219541	12497.3032426	1	1	1	1	1	8.75489127298	1	1	1	1
69	9	1	1	4	1	1	12518.2817644	12513.1621541	1	1	1	1	1	11.4499814697	1	1	1	1
70	10	1	1	4	1	1	12490.3431605	12501.0361782	1	1	1	1	1	11.0568462246	1	1	1	1
71	1	1	2	4	1	1	12504.486594	12493.9381897	1	1	1	1	1	10.3127285139	1	1	1	1
72	2	1	2	4	1	1	12517.6961556	12496.1976238	1	1	1	1	1	11.6277516792	1	1	1	1
73	3	1	2	4	1	1	12491.9862561	12503.3497685	1	1	1	1	1	13.2798835397	1	1	1	1
74	4	1	2	4	1	1	12527.4860091	12500.9645189	1	1	1	1	1	8.21186385201	1	1	1	1
75	5	1	2	4	1	1	12508.6014107	12492.9030337	1	1	1	1	1	10.0946414866	1	1	1	1
76	6	1	2	4	1	1	12513.740833	12500.3760387	1	1	1	1	1	8.90756151065	1	1	1	1
77	7	1	2	4	1	1	12497.4684736	12488.4280695	1	1	1	1	1	7.66626352084	1	1	1	1
78	8	1	2	4	1	1	12520.5051398	12491.6837172	1	1	1	1	1	10.8336879556	1	1	1	1
79	9	1	2	4	1	1	12544.8211625	12500.995827	1	1	1	1	1	11.7142593955	1	1	1	1
80	10	1	2	4	1	1	12518.097735	12504.9890476	1	1	1	1	1	9.95887471917	1	1	1	1
81	1	1	1	5	1	1	12492.102017	12501.2312923	1	1	1	1	1	10.4340086483	1	1	1	1
82	2	1	1	5	1	1	12484.3383459	12507.1860348	1	1	1	1	1	10.013788719	1	1	1	1
83	3	1	1	5	1	1	12485.4527479	12488.1988008	1	1	1	1	1	8.43802415855	1	1	1	1
84	4	1	1	5	1	1	12503.9413694	12491.5203	1	1	1	1	1	12.1020802601	1	1	1	1
85	5	1	1	5	1	1	12505.5851302	12501.5478664	1	1	1	1	1	15.0673976766	1	1	1	1
86	6	1	1	5	1	1	12499.8107567	12492.5392401	1	1	1	1	1	8.88547803843	1	1	1	1
87	7	1	1	5	1	1	12506.839212	12481.8482076	1	1	1	1	1	11.3490556835	1	1	1	1
88	8	1	1	5	1	1	12493.7472795	12493.4461759	1	1	1	1	1	7.07460280377	1	1	1	1
89	9	1	1	5	1	1	12501.2406642	12497.7135496	1	1	1	1	1	10.5015467509	1	1	1	1
90	10	1	1	5	1	1	12511.664567	12499.5611763	1	1	1	1	1	11.4577223302	1	1	1	1
91	1	1	2	5	1	1	12509.340586	12499.2581862	1	1	1	1	1	9.67014763267	1	1	1	1
92	2	1	2	5	1	1	12508.4792228	12488.2629688	1	1	1	1	1	10.4866533313	1	1	1	1
93	3	1	2	5	1	1	12510.1878934	12487.1432784	1	1	1	1	1	8.61969773769	1	1	1	1
94	4	1	2	5	1	1	12518.1464876	12493.2247361	1	1	1	1	1	8.3845000393	1	1	1	1
95	5	1	2	5	1	1	12509.2779212	12506.244175	1	1	1	1	1	11.1585698523	1	1	1	1
96	6	1	2	5	1	1	12511.6544971	12497.7834319	1	1	1	1	1	9.04733696695	1	1	1	1
97	7	1	2	5	1	1	12515.4564842	12511.2117554	1	1	1	1	1	7.91981599431	1	1	1	1
98	8	1	2	5	1	1	12536.6573312	12522.1056598	1	1	1	1	1	12.7401803663	1	1	1	1
99	9	1	2	5	1	1	12524.5967545	12503.116719	1	1	1	1	1	7.01376345564	1	1	1	1
100	10	1	2	5	1	1	12525.118034	12500.4263131	1	1	1	1	1	9.11260154953	1	1	1	1
101	1	1	1	6	1	1	12490.8595711	12502.6008614	1	1	1	1	1	10.1363999534	1	1	1	1
102	2	1	1	6	1	1	12509.9071968	12493.2177586	1	1	1	1	1	6.88685431321	1	1	1	1
103	3	1	1	6	1	1	12504.2654538	12504.6428095	1	1	1	1	1	10.4453876488	1	1	1	1
104	4	1	1	6	1	1	12496.9106453	12502.3327029	1	1	1	1	1	8.20183858759	1	1	1	1
105	5	1	1	6	1	1	12493.1438121	12499.216342	1	1	1	1	1	11.3204061768	1	1	1	1
106	6	1	1	6	1	1	12495.5540056	12490.8958879	1	1	1	1	1	8.71853969387	1	1	1	1
107	7	1	1	6	1	1	12499.6605335	12507.3203631	1	1	1	1	1	10.1185259759	1	1	1	1
108	8	1	1	6	1	1	12517.052429	12496.3396961	1	1	1	1	1	8.45081803618	1	1	1	1
109	9	1	1	6	1	1	12501.1005723	12511.1067519	1	1	1	1	1	8.83526901678	1	1	1	1
